battery_id,framework_formula,primary_tm,formula_discharge,tm_eneg,tm_ionic_radius,tm_max_oxidation_state,anion_eneg,li_per_fu,spacegroup_number,crystal_system,volume_per_atom,density,polyanion_eneg,structure_prototype,tm_oxidation_discharge,average_voltage,max_delta_volume
mp-26104_Na,V2(PO4)3,V,Na3V2(PO4)3,1.63,1.35,5.0,3.44,0.0,2,1,13.0782,2.8889,2.19,0,4.5,3.348917,0.118606
mp-769532_Na,V2C4SO16,V,Na6V2C4SO16,1.63,1.35,5.0,3.44,0.0,70,3,15.0603,2.0996,2.58,0,3.0,2.300818,0.023353
mp-19111_Na,V2O5,V,NaV2O5,1.63,1.35,5.0,3.44,0.0,59,3,14.3237,3.0122,0.0,0,3.2495,3.266735,0.113406
mp-778480_Na,V2P(CO4)4,V,Na6V2P(CO4)4,1.63,1.35,5.0,3.44,0.0,70,3,15.2031,2.0747,2.19,0,3.0,3.034058,0.005279
mp-1094113_Na,V2P2O9,V,NaV2P2O9,1.63,1.35,5.0,3.44,0.0,62,3,13.0423,3.0148,2.19,1,3.5,4.149546,0.027418
mp-773088_Na,V3Fe2CuO12,V,NaV3Fe2CuO12,1.7417,1.3667,3.8333,3.44,0.0,2,1,13.6342,3.5188,0.0,0,3.6667,4.168594,0.008638
mp-29793_Na,V3O7,V,Na2V3O7,1.63,1.35,5.0,3.44,0.0,159,5,16.8277,2.6132,0.0,0,4.0,3.227863,0.024202
mp-752972_Na,V3O8,V,Na4V3O8,1.63,1.35,5.0,3.44,0.0,11,2,14.2029,2.9847,0.0,0,5.0,1.968014,0.116923
mp-558049_Na,V3P2O13,V,Na2V3P2O13,1.63,1.35,5.0,3.44,0.0,56,3,14.5291,2.6843,2.19,0,4.5,3.693654,0.033419
mp-1012791_Na,V3P3O13,V,NaV3P3O13,1.63,1.35,5.0,3.44,0.0,11,2,13.121,3.0223,2.19,0,3.5,4.892303,0.009142
mp-1210050_Na,V4(CuO4)3,V,NaV4(CuO4)3,1.7457,1.35,3.7143,3.44,0.0,204,7,10.1752,5.0367,0.0,0,5.0,2.97264,0.022936
