tm_eneg,tm_ionic_radius,tm_max_oxidation_state,anion_eneg,li_per_fu,spacegroup_number,crystal_system,volume_per_atom,density,neg_avg_voltage,max_delta_volume
1.55,1.4,7.0,3.44,1.0,15,2,14.2665,2.539,-5.438288,0.010081
1.55,1.4,7.0,3.44,2.0,11,2,14.5777,2.4398,,
1.55,1.4,7.0,3.44,3.0,14,2,12.1346,3.0464,,
1.55,1.4,7.0,3.44,1.0,146,5,13.4136,2.7805,,
1.55,1.4,7.0,3.44,3.0,1,1,12.3702,5.7957,,
1.55,1.4,7.0,3.44,1.0,130,4,14.4467,2.5078,-5.040083,0.086047
1.5733,1.4,6.6667,3.44,12.0,6,2,12.184,3.4069,,
1.5706,1.4,6.8125,3.44,8.0,12,2,11.7989,4.0525,,
1.6025,1.4,6.25,3.44,8.0,12,2,11.9166,4.046,,
1.5569,1.4,6.9375,3.44,8.0,12,2,11.5821,4.146,,
1.5725,1.3969,6.6875,3.44,8.0,166,5,11.637,4.1463,-4.020916,0.051457
1.55,1.4,7.0,3.44,13.0,12,2,12.3102,3.7247,,
1.55,1.4,7.0,3.44,3.0,15,2,12.0973,3.1877,,
1.55,1.4,7.0,3.44,2.0,15,2,12.8674,3.0218,-4.586267,0.091108
1.55,1.4,7.0,3.44,6.0,70,3,13.2142,2.4366,,
1.66,1.3833,5.6667,3.44,2.0,167,5,12.3322,3.3941,,
1.748,1.37,4.6,3.44,4.0,8,2,12.0307,5.3224,,
1.66,1.3833,5.6667,3.44,5.0,12,2,12.6705,3.5362,,
1.616,1.4,6.4,3.44,2.0,60,3,15.126,2.9567,,
1.616,1.4,6.4,3.44,4.0,8,2,12.0382,5.0988,,
1.7483,1.375,4.3333,3.44,4.0,146,5,12.4932,3.3516,,
1.5867,1.4,6.6667,3.44,3.0,12,2,11.6258,4.0924,,
1.55,1.4,7.0,3.44,5.0,2,1,12.2315,4.1679,-3.981818,0.005178
1.55,1.4,7.0,3.98,1.0,15,2,14.0712,3.1845,,
1.6433,1.4,5.6667,3.44,5.0,7,2,12.2141,2.869,,
